"Organization Name","Date(s) of Breach  (if known)","Reported Date"
"BMP/Pennant Holdings, LLC","01/13/2016, 06/08/2016","07/07/2016"
"Amaash Corporation","12/02/2015, 06/08/2016","07/07/2016"
"CDCR - California Health Care Facility","05/02/2016","07/06/2016"
"KontrolFreek, LLC","","06/30/2016"
"Kool Kids Model & Talent Management","02/16/2016","06/30/2016"
"VerticalScope Inc. ","","06/29/2016"
"Noodles & Company","01/31/2016, 06/02/2016","06/28/2016"
"Hard Rock Hotel & Casino Las Vegas","10/27/2015","06/27/2016"
"Mercy Medical Center Redding","06/01/2016, 06/13/2016","06/24/2016"
"Discover Financial Services","","06/17/2016"
"Discover Financial Services","01/01/2014","06/17/2016"
"Multi-Color Corporation","05/15/2016, 05/14/2016","06/16/2016"
"University of Connecticut","09/24/2016","06/14/2016"
"Acer Service Corporation","05/12/2015","06/14/2016"
"Stanford University","","06/13/2016"
"Momentum for Mental Health ","06/03/2016","06/13/2016"
"MEI-GSR","02/19/2014, 03/13/2014, 03/20/2015, 08/06/2015","06/13/2016"
"State Farm Mutual Automobile Insurance Companies, its affilitates and subsidiaries","08/07/2014","06/07/2016"
"Empathia, Inc. ","","06/06/2016"
"Myspace LLC","","06/03/2016"
"LinkedIn Corporation","05/17/2016","06/02/2016"
"Verity Health System","04/27/2016","05/31/2016"
"A&A Ready Mixed Concrete, Inc.","05/16/2016","05/24/2016"
"Berkeley Endocrine Clinic","04/22/2016","05/23/2016"
"The Paper Works","03/30/2016","05/18/2016"
"Flurish Inc. dba LendUp","","05/16/2016"
"Solano Community College","04/28/2016","05/16/2016"
"Zocdoc, Inc.","06/15/2011","05/16/2016"
"California Correctional Health Care Services","02/25/2016","05/15/2016"
"Imperial Valley Family Care Medical Group, APC","03/21/2016","05/13/2016"
"City College of San Francisco","","05/13/2016"
"Lynn N. Talbott, Jr., CPA, CVA","04/19/2016","05/11/2016"
"Hi Tec Sports USA, Inc","01/24/2016","05/11/2016"
"San Mateo Foster City School District","","05/11/2016"
"Google Inc.","03/29/2016","05/06/2016"
"Stonebridge Realty Advisors, Inc.","11/08/2015, 03/26/2016","05/06/2016"
"Bay Area Children's Association","01/15/2015","05/05/2016"
"CertifiKid LLC","01/25/2016, 03/19/2016","05/05/2016"
"Saint Agnes Medical Center","05/02/2016","05/05/2016"
"California State University Northridge","","05/05/2016"
"Hume Lake Christian Camps","02/29/2016, 03/04/2016","05/05/2016"
"Tribune Media","04/04/2016","05/04/2016"
"Areas","04/04/2016, 04/29/2016","05/04/2016"
"Ken Waterman CPA, PC","03/27/2016","05/03/2016"
"Charles Schwab & Co., Inc.","","05/03/2016"
"Lafler Moore Connerty & Webb, LLC","03/11/2016, 01/27/2016","05/03/2016"
"Advance International Marketing, Inc.","04/04/2016","04/26/2016"
"LuckyPet, Inc.","10/15/2015","04/26/2016"
"Berkeley Unified School District","04/11/2016","04/22/2016"
"Voya Financial Advisors, Inc.","04/13/2016","04/21/2016"
"U Gym, LLC","04/04/2016","04/20/2016"
"dōTERRA International, LLC","","04/18/2016"
"Academy of Art Unversity ","03/04/2016","04/13/2016"
"Bristol Farms, Inc.","03/30/2016","04/11/2016"
"Staminus Communications","03/10/2016","04/11/2016"
"Schwaab. Inc. ","01/22/2014, 08/21/2015, 11/30/2015, 02/04/2016","04/11/2016"
"OptumRx","03/16/2016","04/08/2016"
"Essex Property Trust, Inc.","03/17/2016","04/07/2016"
"The Whiting-Turner Contracting Company (""Whiting-Turner"")","03/08/2016","04/06/2016"
"Katherman Kitts & Co. LLP","02/25/2016","04/05/2016"
"Pivotal Software, Inc.","03/22/2016","03/30/2016"
"Ullrich Delevati CPAs","","03/28/2016"
"Sprouts Farmers Market","03/14/2016","03/28/2016"
"Aspiranet","03/21/2016","03/25/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","03/24/2016"
"Lamps Plus and Pacific Coast Lighting","02/11/2016","03/23/2016"
"Discover Financial Services","08/02/2015","03/21/2016"
"Discover Financial Services","02/19/2014","03/21/2016"
"Laz Karp Associates, LLC","02/17/2016","03/21/2016"
"PerkinElmer, Inc.","02/24/2016","03/16/2016"
"Advance Auto Parts, Inc","03/07/2016","03/16/2016"
"Laborers Funds Administrative Office of Northern California, Inc.","02/17/2016","03/15/2016"
"Bailey's Inc","01/01/2013","03/14/2016"
"Mitchell International, Inc.","02/24/2016","03/14/2016"
"Sequoia Union High School District","02/03/2016","03/11/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/07/2013","03/10/2016"
"Seagate US, LLC","03/01/2016","03/09/2016"
"1-800-Flowers.com","02/15/2016","03/08/2016"
"Billy Casper Golf","02/26/2016","03/08/2016"
"Turner Construction Company","03/02/2016","03/07/2016"
"Snapchat, Inc.","02/26/2016","03/04/2016"
"21st Century Oncology","","03/04/2016"
"Rosen Hotels & Resorts","09/02/2014","03/04/2016"
"Central Concrete Supply Co. Inc.","02/23/2016","03/01/2016"
"TN Marketing","11/24/2015","02/29/2016"
"University of California, Berkeley (The Regents of the University of California)","12/28/2015","02/26/2016"
"Mercy Housing, Inc., Mercy Housing Management Group, Inc.","02/19/2016","02/25/2016"
"Superior Labels","11/03/2015","02/25/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","02/23/2016"
"Incipio, LLC","09/16/2015, 01/29/2016","02/22/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","02/22/2016"
"Calpine Corporation","02/09/2016","02/16/2016"
"Alliance Health Networks, LLC","","02/15/2016"
"Magnolia Health Corporation","02/03/2016","02/12/2016"
"The Brickman Group, Ltd. LLC","02/03/2016","02/10/2016"
"Baja Bound Insurance Services, Inc.","12/16/2015","02/08/2016"
"University of Central Florida","12/30/2015, 01/06/2016","02/05/2016"
"Gyft, Inc.","10/03/2015","02/05/2016"
"IATSE Local 134","01/04/2016","02/01/2016"
"TaxSlayer","10/10/2015, 12/21/2015","01/29/2016"
"Landry’s, Inc., Golden Nugget Atlantic City, LLC, Golden Nugget Lake Charles, LLC, GNL Corp., GNLV Corp., and Riverboat Corporation of Mississippi","05/04/2014, 12/03/2015","01/29/2016"
"Neiman Marcus Group LTD LLC","12/26/2015","01/29/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","06/02/2014","01/28/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/23/2015","01/27/2016"
"County of San Diego","12/17/2015","01/26/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","11/20/2014","01/26/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","09/23/2015","01/26/2016"
"HealthEquity","12/11/2015","01/25/2016"
"RealSelf, Inc.","12/25/2015","01/25/2016"
"California Virtual Academies","12/09/2015","01/25/2016"
"Kicky Pants, Inc. ","08/26/2015, 12/26/2015","01/21/2016"
"Hyatt Hotels Corporation","08/13/2015","01/14/2016"
"Blue Shield of California","09/15/2015, 12/17/2015","01/14/2016"
"HSBC Bank USA, National Association","12/07/2015, 12/08/2015","01/13/2016"
"RateMyProfessors.com LLC","11/26/2015","01/12/2016"
"JB Autosports, Inc.","08/01/2015, 11/09/2015","01/12/2016"
"Blucora, Inc.","11/10/2015","01/12/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/21/2014","01/08/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","03/22/2015","01/07/2016"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","10/18/2014","01/07/2016"
"Hillsides","10/10/2014, 11/24/2014, 09/11/2015, 10/19/2015","12/31/2015"
"Washington Township Health Care District","","12/28/2015"
"Matson Navigation Company, Inc.","","12/23/2015"
"Acclaim Technical Services","08/26/2015","12/23/2015"
"Dungarees, LLC","10/15/2015","12/22/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","08/07/2014","12/22/2015"
"VTech Electronics North America, LLC","11/14/2015","12/22/2015"
"CBC Restaurant Corporation","","12/18/2015"
"Toyota Motor Credit Corporation","08/05/2015","12/15/2015"
"Sorrento Pacific Financial, LLC","","12/14/2015"
"TuneCore","","12/11/2015"
"CM Ebar LLC","08/12/2015","12/10/2015"
"George Hills Company, Inc.","09/03/2015","12/08/2015"
"MUJI U.S.A. LIMITED","","12/07/2015"
"Holly A Nordhues CPA","","12/02/2015"
"Keenan & Associates","10/09/2015","12/01/2015"
"Cottage Health","10/26/2015, 11/08/2015","12/01/2015"
"Hilton Worldwide, Inc.","11/18/2014, 04/21/2015","11/24/2015"
"Starwood Hotels & Resorts Worldwide, Inc.","","11/20/2015"
"W.W. Grainger, Inc.","","11/18/2015"
"B. Lane, Inc., a Delaware corporation d/b/a Fashion to Figure","05/19/2015","11/13/2015"
"Noble House Hotels and Resorts","12/29/2014, 08/11/2015","11/13/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/29/2014","11/12/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","05/05/2008","11/12/2015"
"CSAC-EXCESS INSURANCE AUTHORITY","09/03/2015","11/10/2015"
"California Department of Motor Vehicle (CA DMV)","09/28/2015","11/06/2015"
"Avis Budget Group","10/02/2015","11/04/2015"
"Accuform Signs","06/30/2015","11/02/2015"
"STILETTO Solutions","09/16/2015","10/29/2015"
"Digital Theatre, LLC","04/19/2015, 09/30/2015","10/28/2015"
"American Bankers Association","09/16/2015","10/22/2015"
"Noble House Hotel and Resorts","01/28/2015, 08/03/2015","10/22/2015"
"Community Catalysts of California","08/31/2015","10/16/2015"
"NextBus, Inc.","","10/16/2015"
"Scripps Networks, LLC","08/08/2015","10/16/2015"
"Peppermill Casinos, Inc. ","10/12/2014, 02/16/2015","10/13/2015"
"Service Systems Associates, Inc.","03/24/2015, 05/20/2015","10/13/2015"
"Vacaville Housing Authority","08/24/2015","10/09/2015"
"GlamGlow LLC","05/18/2014, 05/20/2015","10/08/2015"
"Samela, Inc. d/b/a NorthShore Care Supply","06/07/2015","10/08/2015"
"Scottrade","","10/01/2015"
"Schwab Retirement Plan Services, Inc.","08/25/2015","10/01/2015"
"T-Mobile USA, Inc.","09/14/2015","10/01/2015"
"Trump Hotel Collection","05/19/2014, 06/02/2015","09/25/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","05/19/2014","09/25/2015"
"Silverberg Surgical and Medical Group","09/10/2013","09/25/2015"
"Costco Photo Center","06/19/2014","09/23/2015"
"Rite Aid Corporation ","","09/22/2015"
"Kindred Transitional Care and Rehabilitation – Lawton","08/31/2015","09/22/2015"
"Molina Healthcare of California, Inc.","03/26/2015","09/18/2015"
"T-Bird Restaurant Group, Inc.","08/06/2015","09/17/2015"
"James R. Glidewell, Dental Ceramics, Inc. and its subsidiaries","02/28/2015","09/14/2015"
"YapStone, Inc.","07/15/2014","09/11/2015"
"Sutter Medical Foundation","04/26/2013","09/11/2015"
"CVS Pharmacy, Inc.","06/19/2014, 07/14/2015","09/11/2015"
"The Lifetime Healthcare Companies, including its affiliates Excellus BlueCross BlueShield, Lifetime Health Medical Group, Lifetime Benefit Solutions, Lifetime Care, The MedAmerica Companies, and Univera Healthcare","12/23/2013","09/09/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/30/2014","09/08/2015"
"We End Violence LLC","","09/04/2015"
"eMinor Incorporated d/b/a/ ReverbNation","01/31/2014","09/02/2015"
"University of California at Los Angeles","07/03/2015","09/01/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","08/28/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/12/2014","08/26/2015"
"ROBERT SOPER, M.D.","06/27/2015","08/26/2015"
"M&M Automotive Group, Inc.","07/27/2015","08/21/2015"
"Buyers Protection Group","07/19/2015","08/20/2015"
"Sterling M Enterprises (dba Lee's Deli)","11/03/2014","08/14/2015"
"Internet Corporation for Assigned Names and Numbers - ICANN","07/31/2015","08/12/2015"
"Nationstar Mortgage LLC","07/27/2015","08/12/2015"
"SterlingBackcheck","05/29/2015","08/07/2015"
"WP Technology Inc.  d/b/a Wattpad ","05/29/2015","08/06/2015"
"Mama Mio US, Inc.","04/28/2015","08/04/2015"
"orlantino dyoco, M.D.","06/03/2015","08/03/2015"
"North East Medical Services","07/11/2015","07/31/2015"
"Orange County Employees Association","06/05/2015","07/31/2015"
"East Bay Perinatal Medical Associates","06/01/2015","07/29/2015"
"Golden 1 Credit Union","04/07/2015, 06/17/2015","07/27/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","02/01/2015","07/27/2015"
"HSBC Bank USA, National Association","06/19/2015","07/24/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","01/20/2015","07/24/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","07/22/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","02/15/2011","07/21/2015"
"Atkinson, Andelson, Loya, Ruud & Romo","04/23/2015","07/21/2015"
"UCLA Health","09/21/2014","07/17/2015"
"Insurance Services Office, Inc.","","07/13/2015"
"California Department of Corrections and Rehabilitation","","07/13/2015"
"New Horizons Computer Learning Centers, Inc.","04/04/2015","07/10/2015"
"Mandarin Oriental","06/18/2014","07/10/2015"
"AeroGrow International","05/13/2015, 06/10/2015","07/09/2015"
"Evans Hotels","09/01/2014","07/08/2015"
"Automotive Recovery Services, Inc.","01/12/2015","07/06/2015"
"Bonita Unified School District","06/02/2015","07/01/2015"
"Discover Financial Services","04/10/2014","06/26/2015"
"Medical Informatics Engineering and NoMoreClipboard, a wholly owned subsidiary of Medical Informatics Engineering","05/07/2015","06/26/2015"
"Bank of Manhattan—Mortgage Lending ","06/12/2015","06/25/2015"
"Summit Financial Group","01/01/2015, 02/15/2015","06/22/2015"
"Trustmark Mutual Holding Company","05/13/2015","06/22/2015"
"Dungarees, LLC","03/26/2015, 06/05/2015","06/19/2015"
"Summers Estate Wines","","06/18/2015"
"Spring Mountain Vineyard","","06/18/2015"
"Silverado Vineyards","","06/18/2015"
"Signorello Estate","","06/18/2015"
"Round Pond Estates","","06/18/2015"
"Montefiore Health System, The University Hospital for Albert Einstein College of Medicine","01/01/2013","06/18/2015"
"Rhys Vineyards","","06/18/2015"
"Repris Vineyards","","06/18/2015"
"Pride Mountain Vineyards","","06/18/2015"
"Palmaz Vineyards","","06/18/2015"
"Outpost Vineyards","","06/18/2015"
"Martinelli Winery","","06/18/2015"
"Larkmead Vineyards Vinter and Grower","","06/18/2015"
"Jessup Cellars dba The Good Life Wine Collective","","06/18/2015"
"Heitz Wine Cellars","","06/18/2015"
"Gemstone Vineyards","","06/18/2015"
"Flora Springs Winery & Vineyards","","06/18/2015"
"Charles Krug Winery (C. Mondavi & Family)","","06/18/2015"
"Corison Winery","","06/18/2015"
"Cain Vineyard and Winery","","06/18/2015"
"University of California Irvine Medical Center","06/22/2011, 03/06/2015","06/17/2015"
"Peter Michael Winery","04/12/2015","06/12/2015"
"San Luis Obispo County Community College District","05/31/2015","06/12/2015"
"Rombauer Vineyards, Inc.","","06/11/2015"
"Turley Wine Cellars","04/01/2015, 04/30/2015","06/10/2015"
"Clif Bar Family Winery & Farm, LLC","04/01/2015","06/10/2015"
"ADP, LLC","04/07/2015, 05/18/2015","06/08/2015"
"California Physicians’ Service, d/b/a Blue Shield of California","05/09/2015","06/05/2015"
"Gallant Risk & Insurance Services, Inc.","04/04/2015","06/03/2015"
"AeroGrow International","10/15/2014, 04/27/2015","06/03/2015"
"The Wonderful Company LLC (formerly Roll Global LLC)","02/27/2015","06/01/2015"
"Green Tree Servicing, LLC","09/17/2013","06/01/2015"
"YP Holdings","","06/01/2015"
"U.S. HealthWorks","04/22/2015","05/29/2015"
"Beacon Health System","11/19/2013, 01/26/2015","05/29/2015"
"Sally Beauty Holdings, Inc. ","03/06/2015, 04/17/2015","05/28/2015"
"Heartland Payroll Solutions, Inc.","02/22/2015","05/28/2015"
"Copart Inc.","03/31/2015","05/27/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","05/27/2015"
"Blue Spring Partners, LLC","04/25/2015","05/21/2015"
"CareFirst BlueCross Blueshield","06/19/2014","05/20/2015"
"Sharon J. Jones, M.D.","03/20/2015","05/19/2015"
"The Pennsylvania State University, College of Engineering","09/04/2012, 07/25/2014","05/18/2015"
"Honig's Whistlestop Inc.","03/08/2015, 04/10/2015","05/11/2015"
"Longwood Management Corporation","02/11/2015","05/11/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","05/05/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","11/02/2014","05/01/2015"
"Hard Rock Hotel & Casino","09/03/2014, 04/02/2015","04/30/2015"
"University of California, Berkeley","12/21/2014, 02/19/2015","04/30/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","12/01/2014","04/30/2015"
"County of Los Angeles","","04/29/2015"
"Consolidated Tribal Health Project, Inc. ","04/28/2015","04/28/2015"
"Compass Group USA, Inc.","02/02/2015","04/27/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","04/14/2014","04/27/2015"
"International Coffee & Tea, LLC","01/27/2015","04/27/2015"
"Stater Bros. Markets","03/05/2015, 03/29/2015","04/24/2015"
"AT&T","","04/23/2015"
"Freedom Smokes, Inc.","02/11/2015","04/22/2015"
"Epic Foods dba Bistro Burger (Market Street)","01/04/2015","04/21/2015"
"Abbott Laboratories","12/01/2014","04/17/2015"
"American Sleep Medicine","","04/16/2015"
"Homebridge, Inc.","01/24/2015","04/13/2015"
"Stanislaus Surgical Hospital","04/05/2015","04/13/2015"
"Kellogg & Andelson Global Management","","04/10/2015"
"HSBC Finance Corporation on behalf of its subsidiaries","","04/10/2015"
"University of California, Riverside","03/13/2015","04/10/2015"
"Cement Masons Southern California Health and Welfare Trust Fund","","04/08/2015"
"Intuit ","02/01/2014, 02/27/2015","04/06/2015"
"Tulare County Health & Human Services Agency","03/19/2015","04/06/2015"
"SRI, INC.","12/01/2014, 03/13/2015","04/02/2015"
"Auburn University","09/01/2014","04/02/2015"
"California Department of Business Oversight","01/05/2015","04/02/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","04/01/2015"
"Weyerhaeuser Company","05/01/2014","03/31/2015"
"Nite Ize, Inc.","03/03/2015","03/27/2015"
"Advantage Consolidated LLC","02/23/2015","03/23/2015"
"OneStopParking","08/01/2014, 12/31/2014","03/17/2015"
"SVC-West, LLC","01/06/2015","03/17/2015"
"Premera Blue Cross, including Academe, Inc. (formerly known as LifeWise Health Plan of Arizona, Inc.), Connexion Insurance Solutions, Inc., Life Wise Health Plan of Washington, Life Wise Health Plan of Oregon, Inc., LifeWise Assurance Company, Vivacity","","03/17/2015"
"Apple America Group LLC ","03/03/2015","03/16/2015"
"Mark Riley, Inc., abd E. K. and Company","01/19/2015","03/16/2015"
"Providence Saint Joseph Medical Center","11/01/2014","03/11/2015"
"The Painted Turtle","","03/11/2015"
"Bistro Burger, Inc.","10/02/2014, 12/04/2014","03/09/2015"
"Valley Community Healthcare","02/24/2015","03/09/2015"
"Ziprick & Cramer, LLP","01/25/2015","03/02/2015"
"Perspectives","09/08/2014","03/02/2015"
"Toys ""R"" Us-Delaware, Inc.","01/28/2015, 01/29/2015, 01/30/2015","02/27/2015"
"Piedmont Advantage Credit Union","01/31/2015","02/27/2015"
"Uber Technologies, Inc.","05/13/2014","02/27/2015"
"Bulk Reef Supply","07/30/2014","02/27/2015"
"CP Franchising, LLC","01/30/2015","02/25/2015"
"Lime Crime, Inc.","10/04/2014","02/24/2015"
"American Apparel, Inc","12/10/2014","02/20/2015"
"Cathrine Steinborn DDS","01/05/2015","02/20/2015"
"Big Fish Games","","02/13/2015"
"Liberty Tax Service","02/01/2015","02/13/2015"
"Anthem, Inc.","","02/13/2015"
"Packers Sanitation Services, Inc. Ltd.","02/05/2015","02/10/2015"
"Kings County Office of Education","","02/09/2015"
"Phoenix House Foundation, Inc. and its affiliates ","12/19/2014","02/05/2015"
"CICS Employment Services, Inc.","","01/30/2015"
"Riverside County Regional Medical Center (RCRMC)","11/26/2014","01/29/2015"
"California Pacific Medical Center ","10/15/2013, 10/15/2014","01/23/2015"
"Barbecue Renew Inc.","01/19/2014, 04/01/2014, 07/05/2014","01/16/2015"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","01/15/2015"
"OppenheimerFunds","04/24/2014","01/15/2015"
"American Airlines, Inc.","12/30/2014","01/15/2015"
"Piech Sales Company, LLC dba ValuePetSupplies.com","11/25/2014, 12/29/2014","01/14/2015"
"Park 'N Fly","","01/13/2015"
"Law Offices of David A. Krausz, P.C.","01/05/2015","01/12/2015"
"Inland Empire Health Plan (IEHP)","10/28/2014","01/09/2015"
"United Airlines","","01/06/2015"
"Fast Forward Academy, LLC","","01/02/2015"
"La Jolla Group","11/30/2014, 12/03/2014","12/31/2014"
"Physicians Skin and Weight Centers, Inc.","11/04/2014","12/26/2014"
"Empi, Inc./DJO, LLC","11/07/2014","12/26/2014"
"Lokai Holdings LLC","06/27/2014","12/24/2014"
"Corday Productions, Inc.","","12/24/2014"
"Public Architecture","","12/23/2014"
"Rob Kirby, CPA","12/19/2014","12/23/2014"
"DutchWear","11/07/2014","12/23/2014"
"Nvidia Corporation","10/08/2014","12/22/2014"
"Quest Diagnostics","11/17/2014","12/19/2014"
"Mercy Medical Center Redding Oncology Clinic ","06/01/2014","12/19/2014"
"Staples, Inc.","08/10/2014","12/19/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","12/19/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","07/11/2011","12/19/2014"
"IDParts, LLC","","12/19/2014"
"Harmonic Inc.","10/17/2014","12/18/2014"
"Point Loma Nazarene University","10/07/2014, 10/20/2014","12/15/2014"
"University of California, Berkeley","09/16/2014","12/12/2014"
"Acosta, Inc. and its subsidiaries, including Mosaic Sales Solutions US Operating Co. LLC ","11/10/2014","12/12/2014"
"ABM Parking Services","09/29/2014, 11/18/2014","12/12/2014"
"Sony Pictures Entertainment Inc. (""SPE)","11/24/2014","12/11/2014"
"EMCOR Services Mesa Energy Systems","11/25/2014, 11/24/2014","12/11/2014"
"bebe stores, inc.","11/08/2014","12/05/2014"
"American Residuals and Talen, Inc. (""ART"")","10/18/2014","12/01/2014"
"Shutterfly, Inc.","","11/26/2014"
"Godiva Chocolatier, Inc.","10/16/2014","11/25/2014"
"State Compensation Insurance Fund","","11/25/2014"
"REEVE-WOODS EYE CENTER","","11/14/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","11/07/2014"
"Palm Springs Federal Credit Union","10/20/2014","11/03/2014"
"US Investigations Services, LLC","","10/29/2014"
"East West Bank-CA Impacted Customers-Kmart Data Breach","09/01/2014, 10/09/2014","10/27/2014"
"Fidelity National Financial, Inc.","04/14/2014, 04/16/2014","10/24/2014"
"American Soccer Company, Inc.","09/04/2014","10/23/2014"
"Reeves International, Inc.","03/31/2013","10/23/2014"
"Sourcebooks, Inc.","04/16/2014","10/17/2014"
"Cyberswim, Inc. ","05/12/2014","10/14/2014"
"University of California Davis Medical Center","09/25/2014","10/13/2014"
"SAUSALITO YACHT CLUB","09/30/2014","10/10/2014"
"International Dairy Queen, Inc. (“IDQ”) on behalf of 9 Dairy Queen franchise locations in California listed in the attached addendum.  ","","10/09/2014"
"Evolution Nature Corp. d/b/a The Evolution Store (Evolution"")","","10/09/2014"
"Touchstone Medical Imaging, LLC","05/09/2014","10/03/2014"
"East West Bank","06/22/2014, 09/17/2014","10/02/2014"
"Community Technology Alliance","07/28/2014","10/02/2014"
"East West Bank","04/11/2014, 09/07/2014","10/02/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","06/13/2013","10/01/2014"
"Flinn Scientific, Inc.","05/02/2014, 09/08/2014","10/01/2014"
"Albertson's LLC","","09/29/2014"
"Bay Area Bioscience Association","","09/26/2014"
"Pacific Biosciences of California, Inc.","09/16/2014","09/25/2014"
"Jimmy John's Franchises LLC","06/16/2014","09/24/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","09/24/2014"
"Viator","","09/22/2014"
"Tim McCoy & Associates (DBA NEAT Management Group)","08/27/2014","09/15/2014"
"County of Napa, Health and Human Services Agency, Comprehensive Services for Older Adults","08/27/2014","09/12/2014"
"Cedars-Sinai Health System","06/23/2014","09/10/2014"
"The Home Depot, Inc.","","09/09/2014"
"Yandy.com","05/28/2014, 07/20/2014, 08/13/2014, 08/18/2014","09/08/2014"
"California State University, East Bay","08/23/2013","09/05/2014"
"J.P. Morgan Corporate Challenge","","09/05/2014"
"Goodwill Industries of Sacramento Valley and Northern Nevada, Inc.","","09/02/2014"
"AltaMed Health Services Corporation","","08/29/2014"
"Bartell Hotels","02/16/2014, 05/13/2014","08/29/2014"
"Department of Social Services","07/16/2014","08/29/2014"
"ClamCase LLC","","08/28/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","08/27/2014"
"Imhoff and Associates","06/27/2014","08/26/2014"
"Geekface LLC","08/05/2014","08/26/2014"
"Cedars-Sinai Health System","06/23/2014","08/22/2014"
"Ascensus, Inc","07/29/2014","08/21/2014"
"Community Health Systems Professional Services Corporation","04/10/2014, 06/24/2014","08/20/2014"
"The UPS Store, Inc. on behalf of 51 franchised center locations","01/20/2014","08/20/2014"
"MEETME, INC.","08/05/2014","08/18/2014"
"Albertson's LLC","06/22/2014, 07/17/2014","08/18/2014"
"Freedom Management Group, LLC dba The Natural","04/22/2014","08/12/2014"
"San Mateo Medical Center","12/05/2013","08/07/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","03/13/2011","08/07/2014"
"Anderson & Murison","06/01/2014, 07/18/2014","08/07/2014"
"University of California Santa Barbara","11/01/2013","08/07/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","07/06/2013","08/06/2014"
"Vibram USA, Inc. ","06/06/2014, 07/07/2014","08/05/2014"
"P.F. Chang's China Bistro","10/19/2013","08/04/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","08/04/2014"
"Test Effects, LLC","12/24/2013, 01/19/2014","08/04/2014"
"Recreational Equipment Inc.","07/04/2014","07/31/2014"
"Mount Olympus Mortgage Company","04/28/2014","07/30/2014"
"Lasko Group, Inc.","12/27/2011, 07/02/2014","07/30/2014"
"Northern Trust","05/17/2014","07/29/2014"
"Backcountry Gear","04/27/2014","07/28/2014"
"Managed Med, A Psychological Corporation","03/01/2013","07/25/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","07/25/2014"
"American Express Travel Related Services Company, Inc and /or its Affiliates (“AXP”)","","07/17/2014"
"Bay Area Pain Medical Associates","05/19/2014","07/16/2014"
"Bank of the West","","07/16/2014"
"City of Encinitas 7 San Dieguito Water District","05/13/2014, 07/03/2014","07/15/2014"
"Atlantic Automotive Corporation d/b/a MileOne","03/05/2014","07/15/2014"
"Department of Managed Health Care","05/16/2014","07/11/2014"
"AECOM Technology Corporation","","07/08/2014"
"Heartland Automotive Services Inc.","06/24/2014","07/08/2014"
"Blue Shield of California","02/28/2013, 03/31/2013, 04/30/2013","07/03/2014"
"Watermark Retirement Communities, Inc.","06/13/2014","07/03/2014"
"Black Mountain Software","05/30/2014, 06/02/2014, 06/05/2014, 06/07/2014, 06/08/2014, 06/09/2014, 06/13/2014, 05/30/2014, 06/11/2014, 06/10/2014","07/03/2014"
